Author Name,Title,Cited By,Publication Year
Justin Li,Triterpenoidal Saponins from the Leaves of Aster koraiensis Offer Inhibitory Activities against SARS-CoV-2,0,2024
Justin Li,Cerebellar tonic inhibition orchestrates the maturation of information processing and motor coordination,0,2024
Justin Li,"Hypothalamic GABRA5-positive neurons control obesity via astrocytic GABA (vol 5, pg 1506, 2023)",0,2023
Justin Li,Negative Influence of the hunger state on rule-observance behavior in mice,0,2023
Justin Li,Reactive astrocytes as the cause of Alzheimer’s disease,0,2023
Justin Li,Astrocytic Gapjinc (TMEM43) modulates gap junction networks by facilitating transjunctional potentials,0,2022
Justin Li,Lancemaside A from Codonopsis lanceolata is a broad-spectrum antiviral agent against SARS-CoV-2 and variants of concern,0,2022
Justin Li,Glutamate-inducing MAO-B as a critical modulator for the astrocytic scar in a human glioblastoma microenvironment organoid and xenograft mouse model,0,2022
Justin Li,"Cover Image, Volume 70, Issue 2",0,2021
Justin Li,Computational modeling of age-dependent tonic inhibition in the cerebellar granule cells in a network context,0,2021
Justin Li,Correction: Astrocytic water channel aquaporin-4 modulates brain plasticity in both mice and humans: a potential gliogenetic mechanism underlying language-associated learning …,0,2021
Justin Li,Alpha-aminoamide derivative compound and pharmaceutical composition comprising same,0,2021
Justin Li,"Channel-mediated astrocytic glutamate modulates hippocampal synaptic plasticity by activating postsynaptic NMDA receptors (vol 8, 7, 2015)",0,2021
Justin Li,Apparatus and method for manufacturing channel-coupled scaffold,0,2021
Justin Li,Mutations in TMEM43 cause autosomal dominant auditory neuropathy spectrum disorder via interaction with connexin-mediated passive conductance channels,0,2020
Justin Li,ADHD-like behavior mediated by tonic inhibition,0,2019
Justin Li,Mao-b inhibition reduces astrogliosis and transforms reactive astrocytes into active astrocytes under pathological conditions,0,2019
Justin Li,The GABA-permeable Best1 channel maintains deep Non-REM sleep duration,0,2019
Justin Li,"Experimental neurobiology: The past, present, and future",0,2019
Justin Li,GiD mouse: a novel animal model for reactive astrocytes and Alzheimer's disease,0,2019
Justin Li,"Junsung Woo, Joo Ok Min, Dae-Si Kang, Yoo Sung Kim, Guk Hwa Jung, Hyun Jung Park, Sunpil Kim, Heeyoung An, Jea Kwon, Jeongyeon Kim, Insop Shim, Hyung-Gun",0,2018
Justin Li,Visual stimulation-induced mild stress enhances cognitive behavior in cynomolgus monkey.,0,2018
Justin Li,Compounds as chloride channel blocking agent,0,2017
Justin Li,Phenoxypropanol derivative and pharmaceutical composition including the same,0,2016
Justin Li,"α-Pinene, a Major Constituent of Pine Tree Oils, Produces Sedative-Hypnotic Effects through GABAA-Benzodiazepine Receptors",0,2016
Justin Li,Role of reactive astrocytes and gliotransmitters in neurodegenerative diseases,0,2016
Justin Li,ASSFN Society News,0,2016
Justin Li,ESSFN The Mission,0,2016
Justin Li,GABA release-regulating agent in cerebellum,0,2015
Justin Li,Channel-mediated astrocytic glutamate modulates hippocampal synaptic plasticity by activating postsynaptic NMDA receptors,0,2015
Justin Li,"Composition for inhibiting the activity of inositol 1, 4, 5-triphosphate receptor subtype iii",0,2013
Justin Li,Protease activated receptor‐1 (PAR1) control of glutamate time course in the synapse cleft,0,2012
Justin Li,"Ultra sensitive biosensor for detecting bio-signal transmitters, and detector and detecting method using the same",0,2010
Justin Li,"Caffeine-mediated inhibition of calcium release channel inositol 1, 4, 5-trisphosphate receptor subtype 3 blocks glioblastoma invasion and extends survival.",0,2010
Justin Li,Mechanism of astricyte-neuron signaling,0,2008
Justin Li,Welcome to Molecular Brain,0,2008
Justin Li,Astrocytic strengthening of synaptic plasticity via non-vesicular and channel-mediated glutamate release,0,2008
Justin Li,A starring role for astrocytes,0,2007
Justin Li,Opposition made easy The overhaul of the country's trade mark law has simplified the registration procedure and made it more user-friendly. The question now is whether the same …,0,2004
Justin Li,Potentiation of synaptic NMDA receptors by activation of PAR1,0,2003
Justin Li,Expression and function of PAR1 receptors in dentate region of mouse hippocampus.,0,2002
Justin Li,Part IV. Glutamate Receptors-Poster Papers-Activation of Kainate Receptors on Rat Sensory Neurons Evokes Action Potential Firing and May Modulate Transmitter Release,0,1999
Justin Li,Ultrasonocoverslip: In-Vitro Platform for High-Throughput Assay of Cell Type-Specific Neuromodulation with Infra-Watt-Intensity Ultrasound Stimulation,0,Unknown
Justin Li,Egocentric 3D Skeleton Learning in Identity-Aware Deep LSTM Network Encodes Obese-Like Motion Representations,0,Unknown
Justin Li,Brain-inspired -Convolution benefits large kernels and aligns better with visual cortex,0,Unknown
Justin Li,Transformer needs NMDA receptor nonlinearity for long-term memory,0,Unknown
Justin Li,Physiology News Magazine,0,Unknown
Justin Li,T-type channels and thalamic control of persistent pain.,0,Unknown
Justin Li,"Reactive astrocyte nomenclature, definitions, and future directions",1629,2021
Justin Li,GABA from reactive astrocytes impairs memory in mouse models of Alzheimer's disease,744,2014
Justin Li,Channel-mediated tonic GABA release from glia,601,2010
Justin Li,Nitric oxide acts directly in the presynaptic neuron to produce long-term potentiationin cultured hippocampal neurons,496,1996
Justin Li,Three-dimensional brain-on-a-chip with an interstitial level of flow and its application as an in vitro model of Alzheimer's disease,369,2015
Justin Li,TREK-1 and Best1 channels mediate fast and slow glutamate release in astrocytes upon GPCR activation,365,2012
Justin Li,ATP P2X receptors mediate fast synaptic transmission in the dorsal horn of the rat spinal cord,307,1997
Justin Li,Synaptic strengthening through activation of Ca2+ -permeable AMPA receptors,282,1996
Justin Li,"Amphetamine distorts stimulation-dependent dopamine overflow: effects on D2 autoreceptors, transporters, and synaptic vesicle stores",276,2001
Justin Li,"Common signaling pathways link activation of murine PAR-1, LPA, and S1P receptors to proliferation of astrocytes",245,2003
Justin Li,Development of a Laboratory-safe and Low-cost Detection Protocol for SARS-CoV-2 of the Coronavirus Disease 2019 (COVID-19),237,2020
Justin Li,Bestrophin 1 and retinal disease,236,2017
Justin Li,Astrocytic control of synaptic NMDA receptors,236,2007
Justin Li,New insights on astrocyte ion channels: critical for homeostasis and neuron-glia signaling,219,2015
Justin Li,"Subunit-specific agonist activity at NR2A-, NR2B-, NR2C-, and NR2D-containing N-methyl-D-aspartate glutamate receptors",205,2007
Justin Li,Severe reactive astrocytes precipitate pathological hallmarks of Alzheimer’s disease via H2O2− production,203,2020
Justin Li,Excitatory actions of GABA in the suprachiasmatic nucleus,203,2008
Justin Li,"Caffeine-mediated inhibition of calcium release channel inositol 1, 4, 5-trisphosphate receptor subtype 3 blocks glioblastoma invasion and extends survival",202,2010
Justin Li,Optimization of primer sets and detection protocols for SARS-CoV-2 of coronavirus disease 2019 (COVID-19) using PCR and real-time PCR,192,2020
Justin Li,Ultrasonic neuromodulation via astrocytic TRPA1,188,2019
Justin Li,Protease-activated receptor-1 in human brain: localization and functional expression in astrocytes,182,2004
Justin Li,Neuroligin-1 is required for normal expression of LTP and associative fear memory in the amygdala of adult animals,181,2008
Justin Li,Reactive astrocytes in Alzheimer’s disease: A double-edged sword,178,2018
Justin Li,A disulphide-linked heterodimer of TWIK-1 and TREK-1 mediates passive conductance in astrocytes,162,2014
Justin Li,"Glial GABA, synthesized by monoamine oxidase B, mediates tonic inhibition",159,2014
Justin Li,Allosteric interaction between the amino terminal domain and the ligand binding domain of NR2A,157,2001
Justin Li,CaV3. 1 is a tremor rhythm pacemaker in the inferior olive,156,2010
Justin Li,Newly developed reversible MAO-B inhibitor circumvents the shortcomings of irreversible inhibitors in Alzheimer’s disease,146,2019
Justin Li,"MONNA, a potent and selective blocker for transmembrane protein with unknown function 16/anoctamin-1",145,2013
Justin Li,GABA as a rising gliotransmitter,141,2014
Justin Li,Functional expression of AMPA receptors on central terminals of rat dorsal root ganglion neurons and presynaptic inhibition of glutamate release,141,2002
Justin Li,"α-Pinene, a major constituent of pine tree oils, enhances non-rapid eye movement sleep in mice through GABAA-benzodiazepine receptors",139,2016
Justin Li,Direct activation of transient receptor potential vanilloid 1 (TRPV1) by diacylglycerol (DAG),139,2008
Justin Li,Multifunctional multi-shank neural probe for investigating and modulating long-range neural circuits in vivo,129,2019
Justin Li,TRPV1 on astrocytes rescues nigral dopamine neurons in Parkinson’s disease via CNTF,128,2015
Justin Li,In vivo optical modulation of neural signals using monolithically integrated two-dimensional neural probe arrays,125,2015
Justin Li,Modulation of glycine potency in rat recombinant NMDA receptors containing chimeric NR2A/2D subunits expressed in Xenopus laevis oocytes,123,2008
Justin Li,P2Y1 receptor signaling is controlled by interaction with the PDZ scaffold NHERF-2,123,2005
Justin Li,Bestrophin-1 encodes for the Ca2+-activated anion channel in hippocampal astrocytes,118,2009
Justin Li,Analysis of cellular and behavioral responses to imiquimod reveals a unique itch pathway in transient receptor potential vanilloid 1 (TRPV1)-expressing neurons,116,2011
Justin Li,Anisotropically organized three-dimensional culture platform for reconstruction of a hippocampal neural network,114,2017
Justin Li,EPPS rescues hippocampus-dependent cognitive deficits in APP/PS1 mice by disaggregation of amyloid-β oligomers and plaques,111,2015
Justin Li,"Trifluoperazine, a Well-Known Antipsychotic, Inhibits Glioblastoma Invasion by Binding to Calmodulin and Disinhibiting Calcium Release Channel IP3R",106,2017
Justin Li,Aberrant tonic inhibition of dopaminergic neuronal activity causes motor symptoms in animal models of Parkinson’s disease,103,2020
Justin Li,Input-specific synaptic plasticity in the amygdala is regulated by neuroligin-1 via postsynaptic NMDA receptors,102,2010
Justin Li,A multichannel neural probe with embedded microfluidic channels for simultaneous in vivo neural recording and drug delivery,101,2015
Justin Li,Subpopulations of GABAergic and non‐GABAergic rat dorsal horn neurons express Ca2+‐permeable AMPA receptors,100,1999
Justin Li,Cav2. 3 channels are critical for oscillatory burst discharges in the reticular thalamus and absence epilepsy,99,2011
Justin Li,Kainate receptors expressed by a subpopulation of developing nociceptors rapidly switch from high to low Ca2+ permeability,99,2001
Justin Li,Central nervous system and its disease models on a chip,97,2015
Justin Li,Control of motor coordination by astrocytic tonic GABA release through modulation of excitation/inhibition balance in cerebellum,95,2018
Justin Li,Activation of astrocytic μ-opioid receptor causes conditioned place preference,94,2019
Justin Li,Phlorotannins of the edible brown seaweed Ecklonia cava Kjellman induce sleep via positive allosteric modulation of gamma-aminobutyric acid type A–benzodiazepine receptor: A …,93,2012
Justin Li,Hypnotic effects and binding studies for GABAA and 5-HT2C receptors of traditional medicinal plants used in Asia for insomnia,93,2010
Justin Li,Membrane-delimited coupling of TRPV1 and mGluR5 on presynaptic terminals of nociceptive neurons,91,2009
Justin Li,Astrocytes control sensory acuity via tonic inhibition in the thalamus,87,2020
Justin Li,Optogenetic inactivation of the subthalamic nucleus improves forelimb akinesia in a rat model of Parkinson disease,86,2014
Justin Li,T-type channels control the opioidergic descending analgesia at the low threshold-spiking GABAergic neurons in the periaqueductal gray,82,2010
Justin Li,Channel-mediated astrocytic glutamate modulates hippocampal synaptic plasticity by activating postsynaptic NMDA receptors,81,2015
Justin Li,The amount of astrocytic GABA positively correlates with the degree of tonic inhibition in hippocampal CA1 and cerebellum,81,2011
Justin Li,Plasmin potentiates synaptic N-methyl-D-aspartate receptor function in hippocampal neurons through activation of protease-activated receptor-1,78,2008
Justin Li,Drosophila Atlastin regulates the stability of muscle microtubules and is required for synapse development,77,2009
Justin Li,Cografting astrocytes improves cell therapeutic outcomes in a Parkinson’s disease model,74,2021
Justin Li,Tuning thalamic firing modes via simultaneous modulation of T-and L-type Ca2+ channels controls pain sensory gating in the thalamus,74,2008
Justin Li,Reactivation of fear memory renders consolidated amygdala synapses labile,71,2010
Justin Li,High glutamate permeability and distal localization of Best1 channel in CA1 hippocampal astrocyte,70,2013
Justin Li,Channel-mediated astrocytic glutamate release via Bestrophin-1 targets synaptic NMDARs,68,2013
Justin Li,Astrocytes as GABA-ergic and GABA-ceptive cells,68,2012
Justin Li,Na+/Ca2+ exchanger 2 is neuroprotective by exporting Ca2+ during a transient focal cerebral ischemia in the mouse,68,2008
Justin Li,The tripartite glutamatergic synapse,67,2021
Justin Li,"Platycodin D, a natural component of Platycodon grandiflorum, prevents both lysosome- and TMPRSS2-driven SARS-CoV-2 infection by hindering membrane fusion",67,2021
Justin Li,TLR4 enhances histamine-mediated pruritus by potentiating TRPV1 activity,67,2014
Justin Li,Elucidating the interactive roles of glia in Alzheimer's disease using established and newly developed experimental models,66,2018
Justin Li,Distribution and function of the bestrophin-1 (Best1) channel in the brain,66,2017
Justin Li,Neural probes with multi-drug delivery capability,66,2015
Justin Li,Redefining differential roles of MAO-A in dopamine degradation and MAO-B in tonic GABA synthesis,65,2021
Justin Li,The Ca2+-activated chloride channel anoctamin-2 mediates spike-frequency adaptation and regulates sensory transmission in thalamocortical neurons,64,2016
Justin Li,Activation of protease activated receptor 1 increases the excitability of the dentate granule neurons of hippocampus,64,2011
Justin Li,"3-Carene, a phytoncide from pine tree has a sleep-enhancing effect by targeting the GABAA-benzodiazepine receptors",63,2019
Justin Li,Networked neural spheroid by neuro-bundle mimicking nervous system created by topology effect,63,2015
Justin Li,Protease activated receptor 1-induced glutamate release in cultured astrocytes is mediated by Bestrophin-1 channel but not by vesicular exocytosis,62,2012
Justin Li,Astrocytic urea cycle detoxifies Aβ-derived ammonia while impairing memory in Alzheimer’s disease,61,2022
Justin Li,Rebound burst firing in the reticular thalamus is not essential for pharmacological absence seizures in mice,61,2014
Justin Li,Excessive astrocytic GABA causes cortical hypometabolism and impedes functional recovery after subcortical stroke,59,2020
Justin Li,Dexmedetomidine prevents excessive γ-aminobutyric acid type A receptor function after anesthesia,59,2018
Justin Li,Expression of µ-opioid receptor in CA1 hippocampal astrocytes,57,2018
Justin Li,Deletion of N-type Ca2+ channel Cav2. 2 results in hyperaggressive behaviors in mice,55,2009
Justin Li,Indole-substituted benzothiazoles and benzoxazoles as selective and reversible MAO-B inhibitors for treatment of Parkinson’s disease,54,2017
Justin Li,GluA1 phosphorylation at serine 831 in the lateral amygdala is required for fear renewal,54,2013
Justin Li,Orai1 and Orai3 in combination with Stim1 mediate the majority of store-operated calcium entry in astrocytes,53,2017
Justin Li,Suppression of 14-3-3γ-mediated surface expression of ANO1 inhibits cancer progression of glioblastoma cells,53,2016
Justin Li,GABA tone regulation and its cognitive functions in the brain,50,2023
Justin Li,Decreased glial GABA and tonic inhibition in cerebellum of mouse model for attention-deficit/hyperactivity disorder (ADHD),48,2017
Justin Li,Activation of astrocytic μ-opioid receptor elicits fast glutamate release through TREK-1-containing K2P channel in hippocampal astrocytes,47,2018
Justin Li,Astrocytes render memory flexible by releasing D-serine and regulating NMDA receptor tone in the hippocampus,46,2022
Justin Li,Tweety-homolog (Ttyh) family encodes the pore-forming subunits of the swelling-dependent volume-regulated anion channel (VRACswell) in the brain,45,2019
Justin Li,Oxazolopyridines and thiazolopyridines as monoamine oxidase B inhibitors for the treatment of Parkinson’s disease,45,2013
Justin Li,Astrocytic proBDNF and tonic GABA distinguish active versus reactive astrocytes in hippocampus,42,2018
Justin Li,Small molecule-based lineage switch of human adipose-derived stem cells into neural stem cells and functional GABAergic neurons,42,2017
Justin Li,A MEMS ultrasound stimulation system for modulation of neural circuits with high spatial resolution in vitro,39,2019
Justin Li,Astrocytic water channel aquaporin-4 modulates brain plasticity in both mice and humans: a potential gliogenetic mechanism underlying language-associated learning,37,2018
Justin Li,Bestrophin1‐mediated tonic GABA release from reactive astrocytes prevents the development of seizure‐prone network in kainate‐injected hippocampi,36,2020
Justin Li,Neurovascular coupling under chronic stress is modified by altered GABAergic interneuron activity,36,2019
Justin Li,"Sleep-enhancing effects of phytoncide via behavioral, electrophysiological, and molecular modeling approaches",35,2020
Justin Li,Yin-and-yang bifurcation of opioidergic circuits for descending analgesia at the midbrain of the mouse,35,2018
Justin Li,Romo1 is a mitochondrial nonselective cation channel with viroporin-like characteristics,35,2018
Justin Li,AAV-mediated astrocyte-specific gene expression under human ALDH1L1 promoter in mouse thalamus,35,2017
Justin Li,CRISPR-Cas9 Gene Editing Protects from the A53T-SNCA Overexpression-Induced Pathology of Parkinson's Disease In Vivo,34,2022
Justin Li,Role of astrocytic GABAergic system on inflammatory cytokine-induced anxiety-like behavior,34,2019
Justin Li,"Repositioning of the antipsychotic trifluoperazine: Synthesis, biological evaluation and in silico study of trifluoperazine analogs as anti-glioblastoma agents",34,2018
Justin Li,Nanomechanical measurement of astrocyte stiffness correlated with cytoskeletal maturation,33,2015
Justin Li,Functional similarities and differences of AMPA and kainate receptors expressed by cultured rat sensory neurons,33,2004
Justin Li,Revisiting the role of astrocytic MAOB in Parkinson’s disease,32,2022
Justin Li,Optogenetic rescue of locomotor dysfunction and dopaminergic degeneration caused by alpha-synuclein and eko genes,31,2017
Justin Li,TWIK-1 contributes to the intrinsic excitability of dentate granule cells in mouse hippocampus,31,2014
Justin Li,Variable distributions of Ca (2+)-permeable and Ca (2+)-impermeable AMPA receptors on embryonic rat dorsal horn neurons,31,1995
Justin Li,Astrocyte specificity and coverage of hGFAP-CreERT2 [Tg (GFAP-Cre/ERT2) 13Kdmc] mouse line in various brain regions,30,2018
Justin Li,Ultra-sensitive detection of brain-derived neurotrophic factor (BDNF) in the brain of freely moving mice using an interdigitated microelectrode (IME) biosensor,30,2016
Justin Li,Optogenetic inhibition of the subthalamic nucleus reduces levodopa-induced dyskinesias in a rat model of Parkinson's disease,30,2016
Justin Li,Chronic stress alters spatial representation and bursting patterns of place cells in behaving mice,30,2015
Justin Li,Histamine resets the circadian clock in the suprachiasmatic nucleus through the H1R‐CaV1.3‐RyR pathway in the mouse,29,2015
Justin Li,Cloning and expression of Ca2+-activated chloride channel from rat brain,29,2005
Justin Li,"Differential effects of Gqα, G14α, and G15α on vascular smooth muscle cell survival and gene expression profiles",29,2005
Justin Li,Excitation-inhibition imbalance leads to alteration of neuronal coherence and neurovascular coupling under acute stress,28,2020
Justin Li,Prolonged stimulation with low‐intensity ultrasound induces delayed increases in spontaneous hippocampal culture spiking activity,27,2017
Justin Li,Visualizing reactive astrocyte-neuron interaction in Alzheimer’s disease using 11C-acetate and 18F-FDG,26,2023
Justin Li,Imiquimod Enhances Excitability of Dorsal Root Ganglion Neurons by Inhibiting Background (K2P) and Voltage-Gated (Kv1.1 and Kv1.2) Potassium Channels,26,2012
Justin Li,SI neuron response variability is stimulus tuned and NMDA receptor dependent,26,1999
Justin Li,Activation of kainate receptors on rat sensory neurons evokes action potential firing and may modulate transmitter release,26,1999
Justin Li,Ultrasonic neuromodulation via astrocytic TRPA1,25,2020
Justin Li,A role for the purinergic receptor P2X3 in astrocytes in the mechanism of craniofacial neuropathic pain,25,2017
Justin Li,Flow shear stress enhances the proliferative potential of cultured radial glial cells possibly via an activation of mechanosensitive calcium channel,25,2017
Justin Li,Fluoride induces a volume reduction in CA1 hippocampal slices via MAP kinase pathway through volume regulated anion channels,25,2016
Justin Li,Disinhibitory action of astrocytic GABA at the perforant path to dentate gyrus granule neuron synapse reverses to inhibitory in Alzheimer's disease model,25,2015
Justin Li,Remodeling of the dendritic structure of the striatal medium spiny neurons accompanies behavioral recovery in a mouse model of Parkinson's disease,24,2013
Justin Li,Reduced nicotinic receptor function in sympathetic ganglia is responsible for the hypothermia in the acetylcholinesterase knockout mouse,24,2007
Justin Li,"KDS2010, a newly developed reversible MAO-B inhibitor, as an effective therapeutic candidate for Parkinson's disease",23,2021
Justin Li,A nonsense TMEM43 variant leads to disruption of connexin-linked function and autosomal dominant auditory neuropathy spectrum disorder,23,2021
Justin Li,Functional characterization of resting and adenovirus-induced reactive astrocytes in three-dimensional culture,23,2017
Justin Li,Ca2+ entry is required for mechanical stimulation-induced ATP release from astrocyte,23,2015
Justin Li,Signaling mechanisms of μ-opioid receptor (MOR) in the hippocampus: disinhibition versus astrocytic glutamate regulation,22,2021
Justin Li,Inhibition of monoamine oxidase B prevents reactive astrogliosis and scar formation in stab wound injury model,21,2022
Justin Li,Histamine 1 receptor-Gβγ-cAMP/PKA-CFTR pathway mediates the histamine-induced resetting of the suprachiasmatic circadian clock,21,2016
Justin Li,Differential cellular tropism of lentivirus and adeno-associated virus in the brain of cynomolgus monkey,21,2016
Justin Li,Developmental role of anoctamin-1/TMEM16A in Ca2+-dependent volume change in supporting cells of the mouse Cochlea,21,2013
Justin Li,Development of selective blockers for Ca2+-activated Cl- channel using Xenopus laevis oocytes with an improved drug screening strategy,21,2008
Justin Li,Role of hypothalamic reactive astrocytes in diet-induced obesity,20,2022
Justin Li,A new monolithically integrated multi-functional MEMS neural probe for optical stimulation and drug delivery,20,2015
Justin Li,Inhibiting peripheral and central MAO-B ameliorates joint inflammation and cognitive impairment in rheumatoid arthritis,18,2022
Justin Li,The pathological role of astrocytic MAOB in Parkinsonism revealed by genetic ablation and over-expression of MAOB,17,2021
Justin Li,Functional expression of the tachykinin NK1 receptor by floor plate cells in the embryonic rat spinal cord and brainstem.,17,1995
Justin Li,Hypothalamic GABRA5-positive neurons control obesity via astrocytic GABA,16,2023
Justin Li,Fatty acid increases cAMP-dependent lactate and MAO-B-dependent GABA production in mouse astrocytes by activating a Gαs protein-coupled receptor,16,2018
Justin Li,"The inhibitory effects of bupivacaine, levobupivacaine, and ropivacaine on K2P (two-pore domain potassium) channel TREK-1",16,2014
Justin Li,Cortical astrocytes modulate dominance behavior in male mice by regulating synaptic excitatory and inhibitory balance,15,2023
Justin Li,Columnar distribution of activity dependent gabaergic depolarization in sensorimotor cortical neurons,15,2012
Justin Li,Adenovirus-induced reactive astrogliosis exacerbates the pathology of Parkinson’s disease,14,2021
Justin Li,The molecular mechanism of synaptic activity‐induced astrocytic volume transient,14,2020
Justin Li,"Isoliquiritigenin, a chalcone compound, enhances spontaneous inhibitory postsynaptic response",13,2014
Justin Li,Active role of glia‐like supporting cells in the organ of Corti: membrane proteins and their roles in hearing,11,2022
Justin Li,"Opto-vTrap, an optogenetic trap for reversible inhibition of vesicular release, synaptic transmission, and behavior",11,2022
Justin Li,"MAO-B inhibitor, KDS2010, alleviates spinal nerve ligation-induced neuropathic pain in rats through competitively blocking the BDNF/TrkB/NR2B signaling",10,2022
Justin Li,"Antiallodynic effects of KDS2010, a novel MAO-B inhibitor, via ROS-GABA inhibitory transmission in a paclitaxel-induced tactile hypersensitivity model",10,2022
Justin Li,Trifluoperazine and its analog suppressed the tumorigenicity of non-small cell lung cancer cell; applicability of antipsychotic drugs to lung cancer treatment,10,2022
Justin Li,Inhibitors of synaptic vesicle exocytosis reduce surface expression of postsynaptic glutamate receptors,10,2020
Justin Li,Neuronal expression and cell-type-specific gene-silencing of Best1 in thalamic reticular nucleus neurons using pSico-Red System,10,2016
Justin Li,Homogeneous generation of iDA neurons with high similarity to bona fide DA neurons using a drug inducible system,10,2015
Justin Li,Lancemaside A from Codonopsis lanceolata: Studies on antiviral activity and mechanism of action against SARS-CoV-2 and its variants of concern,9,2022
Justin Li,Longitudinal intravital imaging of cerebral microinfarction reveals a dynamic astrocyte reaction leading to glial scar formation,9,2022
Justin Li,"PyrPeg, a blood–brain-barrier-penetrating two-photon imaging probe, selectively detects Neuritic Plaques, Not Tau Aggregates",9,2020
Justin Li,Pharmacological dissection of intrinsic optical signal reveals a functional coupling between synaptic activity and astrocytic volume transient,9,2019
Justin Li,Direct interaction with 14–3-3γ promotes surface expression of Best1 channel in astrocyte,9,2017
Justin Li,Cloning and heterologous expression of new xANO2 from Xenopus laevis,9,2011
Justin Li,"Inhibition of the Ca2+ release channel, IP3R subtype 3 by caffeine slows glioblastoma invasion and migration and extends survival",9,2010
Justin Li,Attenuated glial K+ clearance contributes to long-term synaptic potentiation via depolarizing GABA in dorsal horn neurons of rat spinal cord,8,2014
Justin Li,11C-Acetate PET/CT detects reactive astrogliosis helping glioma classification,7,2022
Justin Li,Retina-attached slice recording reveals light-triggered tonic GABA signaling in suprachiasmatic nucleus,7,2021
Justin Li,A Deafness Associated Protein TMEM43 Interacts with KCNK3 (TASK-1) Two-pore Domain K+ (K2P) Channel in the Cochlea,7,2021
Justin Li,Differential proximity of perisynaptic astrocytic best1 at the excitatory and inhibitory tripartite synapses in APP/PS1 and MAOB-KO mice revealed by lattice structured …,7,2021
Justin Li,Synergy between vesicular and non-vesicular gliotransmission regulates synaptic plasticity and working memory,7,2021
Justin Li,Platycodin D prevents both lysosome- and TMPRSS2-driven SARS-CoV-2 infection in vitro by hindering membrane fusion,7,2020
Justin Li,Ultrasonocoverslip: In-vitro platform for high-throughput assay of cell type-specific neuromodulation with ultra-low-intensity ultrasound stimulation,6,2023
Justin Li,Astrocytic scar restricting glioblastoma via glutamate–MAO-B activity in glioblastoma-microglia assembloid,6,2023
Justin Li,Dynamic changes in the bridging collaterals of the basal ganglia circuitry control stress-related behaviors in mice,6,2020
Justin Li,Electrophysiological evidence for functional astrocytic P2X3 receptors in the mouse trigeminal caudal nucleus,6,2018
Justin Li,"Dopamine-induced astrocytic Ca2+ signaling in mPFC is mediated by MAO-B in young mice, but by dopamine receptors in adult mice",5,2022
Justin Li,Unaltered tonic inhibition in the arcuate nucleus of diet-induced obese mice,5,2022
Justin Li,Visualization of reactive astrocytes in living brain of Alzheimer’s disease patient,5,2021
Justin Li,High-yield synthesis and purification of recombinant human GABA transaminase for high-throughput screening assays,5,2021
Justin Li,TRANsCre-DIONE transdifferentiates scar-forming reactive astrocytes into functional motor neurons,5,2020
Justin Li,Stretching apparatus and method for aligning microfibrils,5,2017
Justin Li,Structure-guided engineering of a fast genetically encoded sensor for real-time H2O2 monitoring,4,2024
Justin Li,Astersaponin I from Aster koraiensis is a natural viral fusion blocker that inhibits the infection of SARS-CoV-2 variants and syncytium formation,4,2022
Justin Li,Synthesis and structure–activity relationship study of saponin-based membrane fusion inhibitors against SARS-CoV-2,4,2022
Justin Li,Generation of astrocyte-specific MAOB conditional knockout mouse with minimal tonic GABA inhibition,4,2022
Justin Li,Visual stimulation-induced mild stress enhances cognitive behavior in cynomolgus monkey,4,2018
Justin Li,Corrigendum: EPPS rescues hippocampus-dependent cognitive deficits in APP/PS1 mice by disaggregation of amyloid-β oligomers and plaques,4,2016
Justin Li,Group I mGluR-dependent depotentiation in the lateral amygdala does not require the removal of calcium-permeable AMPA receptors,4,2014
Justin Li,Detection of neurons expressing calcium-permeable AMPA receptors using kainate-induced cobalt uptake,4,2001
Justin Li,SUBTLE: An unsupervised platform with temporal link embedding that maps animal behavior,3,2024
Justin Li,Rejuvenating aged microglia by p16ink4a-siRNA-loaded nanoparticles increases amyloid-β clearance in animal models of Alzheimer’s disease,3,2024
Justin Li,Long-term inhibition of ODC1 in APP/PS1 mice rescues amyloid pathology and switches astrocytes from a reactive to active state,3,2024
Justin Li,DMSO-tolerant ornithine decarboxylase (ODC) tandem assay optimised for high-throughput screening,3,2023
Justin Li,Molecular identification of ALDH1A1 and SIRT2 in the astrocytic putrescine-to-GABA metabolic pathway,3,2023
Justin Li,Glutamate permeability of chicken Best1,3,2022
Justin Li,Tumor spheroids of an aggressive form of central neurocytoma have transit-amplifying progenitor characteristics with enhanced EGFR and tumor stem cell signaling,3,2021
Justin Li,Astrocytes render memory flexible,3,2021
Justin Li,Pharmaceutical compositions for preventing or treating degenerative brain disease and method of screening the same,3,2016
Justin Li,Protease-activated receptor 1-induced GABA release in cultured cortical astrocytes pretreated with GABA is mediated by the Bestrophin-1 channel,3,2014
Justin Li,Tonic NMDAR Currents in the Brain: Regulation and Cognitive Functions,2,2024
Justin Li,Visualizing cancer-originating acetate uptake through MCT1 in reactive astrocytes in the glioblastoma tumor microenvironment,2,2023
Justin Li,DDC-promoter-driven chemogenetic activation of SNpc dopaminergic neurons alleviates parkinsonian motor symptoms,2,2023
Justin Li,GolpHCat (TMEM87A): a unique voltage-gated and pH-sensitive cation channel in the Golgi,2,2023
Justin Li,Subtle: An unsupervised platform with temporal link embedding that maps animal behavior. bioRxiv,2,2023
Justin Li,Visualizing reactive astrogliosis extends survival in glioblastoma patients,2,2021
